#   lattice symmetry parameter b = 0.8639 
#   V1/V0 =  1.500 
#   Lattice depths =    35.000  15.000  15.000
# 
#    k            band1                band2            band3 ...
   0.400    -9.0084122202e+00     6.0265800585e+00     1.2372792371e+01
   0.420    -8.9975172259e+00     5.8974209976e+00     1.2539983269e+01
   0.440    -8.9861227753e+00     5.7688577921e+00     1.2708465244e+01
   0.460    -8.9742336675e+00     5.6409485122e+00     1.2878184983e+01
   0.480    -8.9618549786e+00     5.5137433796e+00     1.3049097295e+01
   0.500    -8.9489920696e+00     5.3872862780e+00     1.3221163613e+01
   0.520    -8.9356505945e+00     5.2616159441e+00     1.3394350807e+01
   0.540    -8.9218365091e+00     5.1367669169e+00     1.3568630242e+01
   0.560    -8.9075560796e+00     5.0127702985e+00     1.3743977031e+01
   0.580    -8.8928158925e+00     4.8896543705e+00     1.3920369425e+01
   0.600    -8.8776228642e+00     4.7674450967e+00     1.4097788319e+01
   0.620    -8.8619842517e+00     4.6461665357e+00     1.4276216853e+01
   0.640    -8.8459076632e+00     4.5258411836e+00     1.4455640079e+01
   0.660    -8.8294010694e+00     4.4064902591e+00     1.4636044684e+01
   0.680    -8.8124728155e+00     4.2881339431e+00     1.4817418768e+01
   0.700    -8.7951316334e+00     4.1707915820e+00     1.4999751648e+01
   0.720    -8.7773866541e+00     4.0544818605e+00     1.5183033700e+01
   0.740    -8.7592474214e+00     3.9392229506e+00     1.5367256222e+01
   0.760    -8.7407239051e+00     3.8250326396e+00     1.5552411322e+01
   0.780    -8.7218265154e+00     3.7119284427e+00     1.5738491818e+01
   0.800    -8.7025661174e+00     3.5999277010e+00     1.5925491152e+01
   0.820    -8.6829540459e+00     3.4890476685e+00     1.6113403322e+01
   0.840    -8.6630021206e+00     3.3793055899e+00     1.6302222819e+01
   0.860    -8.6427226625e+00     3.2707187694e+00     1.6491944569e+01
   0.880    -8.6221285091e+00     3.1633046342e+00     1.6682563893e+01
   0.900    -8.6012330315e+00     3.0570807909e+00     1.6874076461e+01
   0.920    -8.5800501504e+00     2.9520650782e+00     1.7066478258e+01
   0.940    -8.5585943531e+00     2.8482756143e+00     1.7259765553e+01
   0.960    -8.5368807107e+00     2.7457308419e+00     1.7453934872e+01
   0.980    -8.5149248945e+00     2.6444495685e+00     1.7648982974e+01
   1.000    -8.4927431934e+00     2.5444510056e+00     1.7844906826e+01
   1.020    -8.4703525304e+00     2.4457548038e+00     1.8041703589e+01
   1.040    -8.4477704790e+00     2.3483810862e+00     1.8239370598e+01
   1.060    -8.4250152796e+00     2.2523504799e+00     1.8437905346e+01
   1.080    -8.4021058549e+00     2.1576841445e+00     1.8637305475e+01
   1.100    -8.3790618246e+00     2.0644037994e+00     1.8837568758e+01
   1.120    -8.3559035197e+00     1.9725317480e+00     1.9038693094e+01
   1.140    -8.3326519949e+00     1.8820909008e+00     1.9240676493e+01
   1.160    -8.3093290406e+00     1.7931047952e+00     1.9443517070e+01
   1.180    -8.2859571926e+00     1.7055976135e+00     1.9647213036e+01
   1.200    -8.2625597400e+00     1.6195941981e+00     1.9851762692e+01
   1.220    -8.2391607316e+00     1.5351200638e+00     2.0057164420e+01
   1.240    -8.2157849791e+00     1.4522014072e+00     2.0263416681e+01
   1.260    -8.1924580575e+00     1.3708651128e+00     2.0470518004e+01
   1.280    -8.1692063034e+00     1.2911387550e+00     2.0678466984e+01
   1.300    -8.1460568079e+00     1.2130505965e+00     2.0887262280e+01
   1.320    -8.1230374073e+00     1.1366295824e+00     2.1096902604e+01
   1.340    -8.1001766680e+00     1.0619053292e+00     2.1307386721e+01
   1.360    -8.0775038675e+00     9.8890810880e-01     2.1518713448e+01
   1.380    -8.0550489697e+00     9.1766882698e-01     2.1730881643e+01
   1.400    -8.0328425942e+00     8.4821899554e-01     2.1943890208e+01
   1.420    -8.0109159795e+00     7.8059069832e-01     2.2157738083e+01
   1.440    -7.9893009400e+00     7.1481655009e-01     2.2372424242e+01
   1.460    -7.9680298150e+00     6.5092964820e-01     2.2587947691e+01
   1.480    -7.9471354109e+00     5.8896351653e-01     2.2804307465e+01
   1.500    -7.9266509351e+00     5.2895204138e-01     2.3021502624e+01
   1.520    -7.9066099221e+00     4.7092939903e-01     2.3239532249e+01
   1.540    -7.8870461503e+00     4.1492997475e-01     2.3458395436e+01
   1.560    -7.8679935518e+00     3.6098827312e-01     2.3678091296e+01
   1.580    -7.8494861117e+00     3.0913881957e-01     2.3898618947e+01
   1.600    -7.8315577604e+00     2.5941605331e-01     2.4119977506e+01
   1.620    -7.8142422567e+00     2.1185421177e-01     2.4342166084e+01
   1.640    -7.7975730630e+00     1.6648720692e-01     2.4565183775e+01
   1.660    -7.7815832132e+00     1.2334849398e-01     2.4789029642e+01
   1.680    -7.7663051733e+00     8.2470933236e-02     2.5013702699e+01
   1.700    -7.7517706968e+00     4.3886645717e-02     2.5239201889e+01
   1.720    -7.7380106741e+00     7.6268638714e-03     2.5465526051e+01
   1.740    -7.7250549789e+00    -2.6278221637e-02     2.5692673865e+01
   1.760    -7.7129323120e+00    -5.7799617572e-02     2.5920643786e+01
   1.780    -7.7016700438e+00    -8.6909684682e-02     2.6149433928e+01
   1.800    -7.6912940583e+00    -1.1358229349e-01     2.6379041884e+01
   1.820    -7.6818285995e+00    -1.3779297752e-01     2.6609464429e+01
   1.840    -7.6732961219e+00    -1.5951908199e-01     2.6840697000e+01
   1.860    -7.6657171481e+00    -1.7873990618e-01     2.7072732726e+01
   1.880    -7.6591101344e+00    -1.9543683733e-01     2.7305560500e+01
   1.900    -7.6534913470e+00    -2.0959347424e-01     2.7539160731e+01
   1.920    -7.6488747502e+00    -2.2119573875e-01     2.7773494755e+01
   1.940    -7.6452719088e+00    -2.3023197328e-01     2.8008473176e+01
   1.960    -7.6426919055e+00    -2.3669302296e-01     2.8243830116e+01
   1.980    -7.6411412759e+00    -2.4057230095e-01     2.8478264482e+01
   2.000    -7.6406239605e+00    -2.4186583595e-01     2.8670866585e+01
